cod_cliente,nome_cliente,cnpj_cliente,empresa,filial,regiao,descricao_regiao
982,SOPREMA LTDA,04.064.707/0001-12,4,4,2,MOGI
55989,MR DO BRASIL INDUSTRIA MECANICA LTDA,43.966.092/0001-71,1,4,5,EMBU
55534,SASCAR - TECNOLOGIA E SEGURANCA AUTOMOTIVA S/A,03.112.879/0001-51,1,4,4,PAULISTA
56036,GRUPO MPR S.A.,50.492.809/0001-56,1,4,4,PAULISTA
51960,NEAT SOLUCOES E TECNOLOGIA PARA RH LTDA,11.063.100/0001-83,6,0,4,PAULISTA
54771,MTA BRASIL INDUSTRIA E COMERCIO DE COMPONENTES AUTOMOTIVOS LTDA,00.930.643/0001-34,1,2,12,ARUJA
56743,VR BENEFICIOS E SERVICOS DE PROCESSAMENTO S.A,02.535.864/0007-29,1,4,4,PAULISTA
57351,LIV UP COMERCIO DE ALIMENTOS LTDA,23.353.693/0001-00,1,4,4,PAULISTA
10004,SOULAN CONS. E MAO DE OBRA TEMP. LTDA,59.749.705/0001-59,3,2,2,MOGI
56059,SANSOLE'S COMERCIO DE FRANGO FRITO LTDA,72.993.017/0001-06,43,0,4,PAULISTA
51534,HK FERRAMENTAS IMPORTACAO E EXPORTACAO LTDA.,43.823.525/0002-10,1,5,5,EMBU
57353,RAIA DROGASIL S/A,61.585.865/4056-40,1,4,4,PAULISTA
54985,WURTH DO BRASIL PECAS DE FIXACAO LTDA,43.648.971/0044-95,1,4,4,PAULISTA
57302,AUDITIV COMERCIO E SERVICOS DE PRODUTOS HOSPITALARES LTDA,23.689.774/0014-91,1,4,4,PAULISTA
54045,THE BEST FOOD ALIMENTACAO LTDA,31.064.104/0001-93,22,0,4,PAULISTA
54795,CNA S.A.,60.881.299/0004-05,1,4,4,PAULISTA
55458,CONSULADO GERAL DA ESPANHA EM SAO PAULO,05.468.734/0001-13,2,4,4,PAULISTA
55861,SASCAR - TECNOLOGIA E SEGURANCA AUTOMOTIVA S/A,03.112.879/0004-02,1,4,4,PAULISTA
50699,IFF ESSENCIAS E FRAGRANCIAS LTDA,33.043.951/0001-05,1,4,4,PAULISTA
56462,RAIA DROGASIL S/A,61.585.865/2918-81,1,4,4,PAULISTA
50492,BLUE SKIES COMERCIO DE FRUTAS E HORTALICAS LTDA,07.999.077/0001-66,1,2,2,MOGI
51903,KALMAR BRAZIL LTDA,01.294.715/0001-67,2,4,4,PAULISTA
56726,CNA S.A.,60.881.299/0012-15,1,4,4,PAULISTA
54390,WURTH DO BRASIL PECAS DE FIXACAO LTDA,43.648.971/0049-08,1,4,4,PAULISTA
57354,RAIA DROGASIL S/A,61.585.865/4035-15,1,4,4,PAULISTA
57288,RAIA DROGASIL S/A,61.585.865/2097-00,1,4,4,PAULISTA
56966,RAIA DROGASIL S/A,61.585.865/2106-36,1,4,4,PAULISTA
57348,RAIA DROGASIL S/A,61.585.865/3338-00,1,4,4,PAULISTA
56719,CONSAG ENGENHARIA S/A,40.008.239/0004-75,1,4,4,PAULISTA
57357,INTERCEMENT BRASIL S/A - EM RECUPERACAO JUDICIAL,62.258.884/0141-96,1,4,4,PAULISTA
56740,BUNGE ALIMENTOS S/A,84.046.101/0301-81,2,4,4,PAULISTA
57237,STINORLAND BRASIL LTDA,22.314.723/0004-40,2,4,4,PAULISTA
53142,AUTOZONE BRASIL COMERCIO DE AUTOPECAS LTDA.,14.310.170/0001-87,1,4,4,PAULISTA
55626,MUNDIPHARMA BRASIL PRODUTOS MEDICOS E FARMACEUTICOS LTDA,15.127.898/0004-83,2,4,4,PAULISTA
55829,GLOBALL SERVICOS DE MARKETING S A,19.734.676/0001-37,1,4,4,PAULISTA
